chunk_id,text,start_char,end_char,word_count,section_heading,prov,arxiv_id
section_1,"IMPROVING GUI GROUNDING WITH EXPLICIT POSITION-TO-COORDINATE MAPPING
Suyuchen Wang 1,2,3 , Tianyu Zhang 1,2,3 , Ahmed Masry 1,4 , Christopher Pal 1,2,5,7 , Spandana Gella 1 , Bang Liu 2,3,7 , Perouz Taslakian 1,6
1 ServiceNow 2 Mila - Quebec AI Institute 3 Universit´ e de Montr´ eal 4 York University 5 Polytechnique Montr´ eal 6 McGill University 7 CIFAR AI Chair",0,365,62,IMPROVING GUI GROUNDING WITH EXPLICIT POSITION-TO-COORDINATE MAPPING,"[PaperProv(page_no=1, bbox=PaperBbox(l=139.047, t=622.075, r=472.953, b=600.193, coord_origin='BOTTOMLEFT'), charspan=[0.0, 143.0]), PaperProv(page_no=1, bbox=PaperBbox(l=127.969, t=598.786, r=484.032, b=576.921, coord_origin='BOTTOMLEFT'), charspan=[0.0, 152.0])]",2510.03230v1
section_2,"ABSTRACT
GUI grounding, the task of mapping natural-language instructions to pixel coordinates, is crucial for autonomous agents, yet remains difficult for current VLMs. The core bottleneck is reliable patch-topixel mapping, which breaks when extrapolating to high-resolution displays unseen during training. Current approaches generate coordinates as text tokens directly from visual features, forcing the model to infer complex position-to-pixel mappings implicitly; as a result, accuracy degrades and failures proliferate on new resolutions. We address this with two complementary innovations. First, RULER tokens serve as explicit coordinate markers, letting the model reference positions similar to gridlines on a map and adjust rather than generate coordinates from scratch. Second, Interleaved MRoPE (I-MROPE) improves spatial encoding by ensuring that width and height dimensions are represented equally, addressing the asymmetry of standard positional schemes. Experiments on ScreenSpot, ScreenSpot-V2, and ScreenSpot-Pro show consistent gains in grounding accuracy, with the largest improvements on high-resolution interfaces. By providing explicit spatial guidance rather than relying on implicit learning, our approach enables more reliable GUI automation across diverse resolutions and platforms.",0,1309,171,ABSTRACT,"[PaperProv(page_no=1, bbox=PaperBbox(l=107.866, t=534.979, r=504.138, b=384.609, coord_origin='BOTTOMLEFT'), charspan=[0.0, 1300.0])]",2510.03230v1
section_3,"1 Introduction
GUI grounding is the task of mapping natural language instructions to precise pixel coordinates in graphical user interfaces, enabling autonomous agents to interact with software as humans do (Zhang et al., 2025a; Wang et al., 2024a; Zheng et al., 2024). This capability is fundamental for computer automation: without accurate grounding, agents cannot click buttons, fill forms, or navigate interfaces reliably. Although early approaches relied on structured metadata from HTML/DOM trees or accessibility APIs (Li et al., 2020; Deng et al., 2023), these methods face significant limitations: they require access to the underlying UI structure, which is often unavailable in desktop applications, inconsistent across platforms, or completely absent in legacy systems. Pure vision-based grounding, which operates directly on screenshots, offers universal applicability across any visual interface without requiring special access or instrumentation (Qin et al., 2025; Wang et al., 2025b; Guo et al., 2025). This approach mirrors human interaction with GUIs and enables automation of any software visible on screen, from modern web applications to legacy desktop tools.",0,1182,169,1 Introduction,"[PaperProv(page_no=1, bbox=PaperBbox(l=72.0, t=340.354, r=540.003, b=222.711, coord_origin='BOTTOMLEFT'), charspan=[0.0, 1167.0])]",2510.03230v1
section_4,"1 Introduction
Current vision-based approaches typically formulate GUI grounding as a coordinate generation task, where models output pixel positions as text tokens (e.g., ' x=523, y=217 '). This paradigm, adopted by models such as SeeClick (Cheng et al., 2024), CogAgent (Hong et al., 2024), and UI-TARS (Qin et al., 2025), treats coordinate prediction as a standard language modeling problem. However, this approach faces a fundamental challenge illustrated in Figure 1: models must learn to map from high-dimensional visual positional embeddings to precise numerical coordinates as token outputs without explicit spatial guidance. The mapping is entirely implicit : the model receives visual patches with positional embeddings and must learn to translate these abstract and similar representations into exact and distinct pixel value tokens through its language modeling head.",0,879,127,1 Introduction,"[PaperProv(page_no=1, bbox=PaperBbox(l=72.0, t=214.875, r=540.003, b=129.95900000000006, coord_origin='BOTTOMLEFT'), charspan=[0.0, 864.0])]",2510.03230v1
section_5,"1 Introduction
This implicit approach leads to two critical problems. First, unreliable coordinate prediction : Without explicit guidance linking positions to coordinates, models struggle to learn stable mappings, requiring extensive training data and still producing inconsistent results (Gou et al., 2025; Wu et al., 2025a). Second, poor resolution generalization : Models trained on specific resolutions generally fail when deployed on different screen sizes, as the implicit mapping function learned during training does not transfer to new coordinate ranges (Nayak et al., 2025; Li et al., 2025b).
We also identify a technical limitation in the way current VLMs encode spatial information. Standard Multidimensional Rotary Positional Embedding (MRoPE), used in state-of-the-art models like Qwen2-VL and Qwen2.5VL (Wang et al., 2024b; Bai et al., 2025), assigns different frequency bands to height and width dimensions sequentially. This creates an imbalance where one dimension receives only high-frequency components while another receives only low-frequency components, leading to uneven spatial modeling capabilities across axes, a previously overlooked issue that impacts grounding precision.",0,1201,165,1 Introduction,"[PaperProv(page_no=1, bbox=PaperBbox(l=72.0, t=122.50999999999999, r=540.003, b=69.93399999999997, coord_origin='BOTTOMLEFT'), charspan=[0.0, 587.0]), PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=518.842, r=540.003, b=455.744, coord_origin='BOTTOMLEFT'), charspan=[0.0, 598.0])]",2510.03230v1
section_6,"1 Introduction
To address these challenges, we introduce a framework that provides explicit spatial guidance for GUI grounding through two key innovations:
Firstly, RULER (Rotary position-to-pixeL mappER) tokens establish an explicit coordinate reference system within the model. As illustrated in Figure 1, these auxiliary tokens encode pixel coordinates directly and share positional embeddings with the corresponding image patches. Instead of regressing the coordinates from abstract features, the models can now refer to the nearest RULER token and perform simple bounded arithmetic to determine exact positions. This transforms an unstable regression problem into a robust reference-and-adjustment mechanism, similar to how humans might use gridlines on a map.",0,765,106,1 Introduction,"[PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=447.908, r=540.003, b=428.447, coord_origin='BOTTOMLEFT'), charspan=[0.0, 140.0]), PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=420.998, r=540.003, b=357.513, coord_origin='BOTTOMLEFT'), charspan=[0.0, 609.0])]",2510.03230v1
section_7,"1 Introduction
Secondly, Interleaved MRoPE (I-MROPE) addresses frequency imbalance in standard positional encodings. By interleaving rather than sequentially assigning frequency components across spatial dimensions, it distributes highand low-frequency signals uniformly across width and height. This produces balanced spatial representations and improves the model's ability to distinguish positions along both axes equally.
Training models from scratch with our framework and finetuning existing VLMs with RULER tokens, we perform extensive evaluation on ScreenSpot (Cheng et al., 2024), ScreenSpot-V2 (Wu et al., 2025b), and ScreenSpot-Pro (Li et al., 2025b). Our approach achieves significant improvements: on the challenging ScreenSpot Pro benchmark with high-resolution displays exceeding our training resolution, we improve accuracy from 31.1% to 37.2% through finetuning alone, demonstrating strong generalization capability. These gains are achieved with minimal computational overhead, as RULER tokens add less than 1% to the total token count even for 8K displays.
Our work makes three key contributions: (1) We identify and formalize the implicit mapping problem in current GUI grounding approaches, showing how it leads to poor accuracy and resolution brittleness; (2) We introduce RULER tokens, an explicit coordinate reference mechanism that transforms unstable regression into robust spatial referencing; (3) We present I-MROPE, a balanced positional embedding scheme that provides equal spatial modeling capacity across dimensions. Together, these innovations establish a more principled approach to GUI grounding that treats pixel-level precision as an explicit architectural concern rather than an emergent property.",0,1735,232,1 Introduction,"[PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=350.064, r=540.003, b=308.397, coord_origin='BOTTOMLEFT'), charspan=[0.0, 410.0]), PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=300.56, r=540.003, b=237.46299999999997, coord_origin='BOTTOMLEFT'), charspan=[0.0, 649.0]), PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=229.62599999999998, r=540.003, b=166.529, coord_origin='BOTTOMLEFT'), charspan=[0.0, 659.0])]",2510.03230v1
section_8,"2 Related Work
Positional Embeddings in Vision-Languge Models. Rotary Positional Embedding (RoPE) (Su et al., 2024) encodes positions by rotating embedding dimension pairs with angles proportional to token indices, but suffers from a long-term decay bias in low-frequency components. HoPE (Li et al., 2025a) zeros out these low-frequency terms to prevent long-range bias. For vision-language models, abundant visual tokens exhaust RoPE's context window; V2PE (Ge et al., 2024) rescales step sizes for vision tokens, while CircleRoPE (Wang et al., 2025a) projects image
tokens into circular space orthogonal to text, ensuring equal cross-modal distances. For video, M-RoPE (Wang et al., 2024b) separately encodes spatial-temporal dimensions but disrupts cross-modal alignment by offsetting text tokens. Video RoPE (Liu et al., 2025) addresses this by rotating spatial positions while preserving text-video continuity and relative spatial information. Currently, Qwen2-VL and Qwen2.5-VL's MRoPE (Wang et al., 2024b; Bai et al., 2025) is one of the most prevailing multidimensional positional embedding due to the popularity of these models. However, the implementation of MRoPE results in a biased partition of RoPE features for each spatial-temporal dimensions. Our I-MROPE provides an elegant improvement to MRoPE that provides a full frequency spectrum of RoPE features for each spatial-temporal dimension, which allows the model to perform better position perception.
Concurrent to our work, Qwen3-VL (Qwen, 2025) independently developed Interleaved-MRoPE. We note that both approaches arrived at nearly identical designs through independent research paths, as confirmed through correspondence with the team members of Qwen3-VL.",0,1730,242,2 Related Work,"[PaperProv(page_no=2, bbox=PaperBbox(l=72.0, t=122.50999999999999, r=540.003, b=69.93399999999997, coord_origin='BOTTOMLEFT'), charspan=[0.0, 553.0]), PaperProv(page_no=3, bbox=PaperBbox(l=72.0, t=436.459, r=540.005, b=351.544, coord_origin='BOTTOMLEFT'), charspan=[0.0, 900.0]), PaperProv(page_no=3, bbox=PaperBbox(l=72.0, t=343.707, r=540.003, b=313.337, coord_origin='BOTTOMLEFT'), charspan=[0.0, 260.0])]",2510.03230v1
section_9,"2 Related Work
GUI Grounding Models. Given the limitations of general-purpose models on UI grounding tasks (Li et al., 2025b; Nayak et al., 2025), recent work has focused on developing task-specific models. Early approaches formulated coordinate prediction (UI grounding) as a text generation problem. For example, JEDI (Xie et al., 2025) and UI-TARS (Qin et al., 2025) finetune open-source VLMs on synthetically generated data to enhance grounding capabilities. Building on this, GTA1 (Yang et al., 2025) and SE-GUI (Yuan et al., 2025) leverage reinforcement learning, specifically GRPO (Shao et al., 2024), with rule-based rewards to self-improve grounding performance. PHI-GROUND (Zhang et al., 2025b) introduces a label smoothing strategy that weights coordinate token predictions by their numerical distance from the ground truth, while emphasizing digit positions (e.g., tens, hundreds). In contrast, some recent approaches have moved away from text-based coordinate generation. For example, GUI-ACTOR (Wu et al., 2025a) proposes coordinate-free grounding, where the model directly predicts the visual patches corresponding to the target locations. However, current methods either generate coordinates as natural language response, which requires mapping positional embeddings to number tokens, or requires large changes to the model architecture, which is not directly compatible with general tasks. Our introduced RULER provides both explicit guidance for mapping position information to tokens, while keeping the model's original autoregressive generation design to maximize compatibility with other model usage scenarios.",0,1631,226,2 Related Work,"[PaperProv(page_no=3, bbox=PaperBbox(l=72.0, t=297.184, r=540.003, b=135.51700000000005, coord_origin='BOTTOMLEFT'), charspan=[0.0, 1616.0])]",2510.03230v1
section_10,"3 Method
We present a framework for UI grounding that addresses fundamental limitations in how current VLMs handle spatial perception. Our approach introduces two complementary innovations: (i) Interleaved Multidimensional Rotary Po-
sitional Embedding (I-MROPE) that provides balanced spatial representations, and (ii) RULER tokens that establish explicit position-to-pixel coordinate mappings. We provide an overview of our proposed method in Figure 2.",0,454,60,3 Method,"[PaperProv(page_no=3, bbox=PaperBbox(l=72.0, t=89.39499999999998, r=540.003, b=69.918, coord_origin='BOTTOMLEFT'), charspan=[0.0, 224.0]), PaperProv(page_no=4, bbox=PaperBbox(l=72.0, t=716.911, r=539.995, b=697.062, coord_origin='BOTTOMLEFT'), charspan=[0.0, 220.0])]",2510.03230v1
