chunk_id,text,start_char,end_char,word_count,section_heading,prov,arxiv_id
section_1,"Financial Report Chunking for E ff ective Retrieval Augmented Generation
Abstract. Chunking information is a key step in Retrieval Augmented Generation (RAG). Current research primarily centers on paragraphlevel chunking. This approach treats all texts as equal and neglects the information contained in the structure of documents. We propose an expanded approach to chunk documents by moving beyond mere paragraph-level chunking to chunk primary by structural element components of documents. Dissecting documents into these constituent elements creates a new way to chunk documents that yields the best chunk size without tuning. We introduce a novel framework that evaluates how chunking based on element types annotated by document understanding models contributes to the overall context and accuracy of the information retrieved. We also demonstrate how this approach impacts RAG assisted Question & Answer task performance. Our research includes a comprehensive analysis of various element types, their role in e ff ective information retrieval, and the impact they have on the quality of RAG outputs. Findings support that element type based chunking largely improve RAG results on financial reporting. Through this research, we are also able to answer how to uncover highly accurate RAG.",0,1295,191,Financial Report Chunking for E ff ective Retrieval Augmented Generation,"[PaperProv(page_no=1, bbox=PaperBbox(l=163.08, t=522.452, r=452.345, b=328.13, coord_origin='BOTTOMLEFT'), charspan=[0.0, 1222.0])]",2510.03230v1
section_2,"1 Introduction
Existing approaches for document understanding use a combination of methods from the computer vision and natural language processing domains to identify the di ff erent components in a document. In the rapidly evolving landscape of artificial intelligence, the capability to e ff ectively process unstructured data is becoming increasingly critical. Large Language Models (LLMs) like GPT-4 have revolutionized natural language understanding and generation, as evidenced by their prompt-based functionalities [31], enabling a wide range of applications [5]. However, the e ffi cacy of these models is often constrained by their reliance on the size and quality of the data they process. A notable limitation is the restricted contextual window of LLMs, which hampers their ability to fully comprehend the
contents of extensive documents [25,22,18]. By dissecting large volumes of text into smaller, more focused segments, LLMs can process each part with greater precision, ensuring a thorough understanding of each section. This segmented approach allows for meticulous analysis of unstructured data, enabling LLMs to construct a more comprehensive and coherent understanding of the entire document [41]. There remains a challenge in ensuring factual accuracy and relevance in the generated responses, especially when dealing with complex or extensive information.",0,1378,199,1 Introduction,"[PaperProv(page_no=1, bbox=PaperBbox(l=134.76, t=243.27600000000007, r=480.729, b=126.90899999999999, coord_origin='BOTTOMLEFT'), charspan=[0.0, 803.0]), PaperProv(page_no=2, bbox=PaperBbox(l=134.76, t=672.875, r=480.777, b=580.268, coord_origin='BOTTOMLEFT'), charspan=[0.0, 559.0])]",2510.03230v1
section_3,"1 Introduction
Recently, Retrieval Augmented Generation (RAG) [21,12] has been developed to address the hallucination problem with LLMs [15,43] when recovering factual information directly from an LLM. In RAG, instead of answering a user query directly using an LLM, the user query is used to retrieve documents or segments from a corpus and the top retrieved documents or segments are used to generate the answer in conjunction with an LLM. In this way, RAG constraints the answer to the set of retrieved documents. RAGs have been used as well to answer questions from single documents [14]. The documents are split into smaller parts or chunks, indexed by a retrieval system and recovered and processed depending on the user information need. In a sense, this process allows answering questions about information in a single document, thus contributing to the set of techniques available for document understanding.",0,917,145,1 Introduction,"[PaperProv(page_no=2, bbox=PaperBbox(l=134.76, t=576.515, r=480.901, b=436.148, coord_origin='BOTTOMLEFT'), charspan=[0.0, 902.0])]",2510.03230v1
section_4,"1 Introduction
Since documents need to be chunked for RAG processing, this raises the question about what is the best practice to chunk documents for e ff ective RAG document understanding. There are several dimensions to consider when deciding how to chunk a document, which includes the size of the chunks.
The retrieval system in RAG can use traditional retrieval systems using bagof-words methods or a vector database. If a vector database is used, then an embedding needs to be obtained from each chunk, thus the number of tokens in the chunk is relevant since the neural networks processing the chunks might have constraints on the number of tokens. As well, di ff erent chunk sizes might have undesirable retrieval results. Since the most relevant retrieved chunks need to be processed by an LLM, the number of tokens in retrieved chunks might have an e ff ect in the generation of the answer [25]. As we see, chunking is required for RAG systems and there are several advantages and disadvantages when considering how to chunk a document.",0,1046,177,1 Introduction,"[PaperProv(page_no=2, bbox=PaperBbox(l=134.76, t=432.395, r=480.611, b=387.668, coord_origin='BOTTOMLEFT'), charspan=[0.0, 293.0]), PaperProv(page_no=2, bbox=PaperBbox(l=134.76, t=383.915, r=480.802, b=267.428, coord_origin='BOTTOMLEFT'), charspan=[0.0, 737.0])]",2510.03230v1
section_5,"1 Introduction
In this work, we study specifically the chunking of U.S. Securities and Exchange Commission (SEC) 1 Financial Reports 2 , including 10-Ks, 10-Qs, and 8-Ks. This study plays a critical role in o ff ering insights into the financial health and operational dynamics of public companies. These documents present unique challenges in terms of document processing and information extraction as they consist of varying sizes and layouts, and contain a variety of tabular information. Previous work has evaluated the processing of these reports with simple chunking strategies (e.g., tokens), but we believe that a more e ff ective use of these reports might be achieved by a better pre-processing of the documents
and chunking configuration 3 [14]. To the best of our knowledge, this is the first systematic study on chunking for document understanding and more specifically for processing financial reports.",0,916,143,1 Introduction,"[PaperProv(page_no=2, bbox=PaperBbox(l=134.76, t=263.67499999999995, r=480.678, b=159.188, coord_origin='BOTTOMLEFT'), charspan=[0.0, 706.0]), PaperProv(page_no=3, bbox=PaperBbox(l=134.76, t=674.024, r=480.627, b=640.028, coord_origin='BOTTOMLEFT'), charspan=[0.0, 194.0])]",2510.03230v1
section_6,"2 Related work
RAG is an innovative method that has emerged to enhance the performance of LLMs by incorporating external knowledge, thereby boosting their capabilities. This technique has undergone substantial research, examining various configurations and applications. Key research includes Gao et al.'s [12] detailed analysis of RAG configurations and their role in enhancing Natural Language Processing (NLP) tasks, reducing errors, and improving factual accuracy. Several context retrieval methods are proposed to dynamically retrieve documents to improve the coherence of generated outputs [1]. Other research introduced advancements in RAG, including reasoning chain storage and optimization strategies for retrieval, respectively, broadening the scope and e ffi ciency of RAG applications in LLMs [21]. More recent work has compared RAG vs LLM fine-tuning, and identified that applying both improves the performance of each individual method [2].",0,954,133,2 Related work,"[PaperProv(page_no=3, bbox=PaperBbox(l=134.76, t=587.195, r=480.783, b=446.828, coord_origin='BOTTOMLEFT'), charspan=[0.0, 939.0])]",2510.03230v1
section_7,"2 Related work
Chunking has been identified as the key factor in the success of RAG, improving the relevance of retrieved content by ensuring accurate embedding of text with minimal noise. Various strategies have been developed for text subdivision, each with its unique approach. They can be summarized as follows: the fixed size strategy divides text into uniform segments, but it often overlooks the underlying textual structure. In contrast, the recursive strategy iteratively subdivides text using separators like punctuation marks, allowing it to adapt more fluidly to the content. The contextual strategy takes this a step further by employing NLP techniques such as sentence segmentation to represent the meaning in context. Lastly, the hybrid strategy combines di ff erent approaches, o ff ering greater flexibility in handling diverse text types [34]. However, an area yet to be explored in RAG chunking based on element types (document structure), which involves analyzing the inherent structure of documents, such as headings, paragraphs, tables, to guide the chunking process. Although chunking by Markdown and LaTeX comes closer to addressing element types, it's not the same in nature as a dedicated approach that directly considers document structure and element types for chunking, which could potentially yield more contextually relevant chunks.",0,1363,205,2 Related work,"[PaperProv(page_no=3, bbox=PaperBbox(l=134.76, t=443.195, r=480.845, b=231.06799999999998, coord_origin='BOTTOMLEFT'), charspan=[0.0, 1348.0])]",2510.03230v1
section_8,"2 Related work
Exploring the structure of financial reports is an exceptional area for establishing optimal principles for chunking. The intricate nature of document structures and contents has resulted in most of the work processing financial reports focusing on the identification of structural elements. Among previous work, we find El-Haj et al. [10] and the FinTOC challenges [17,4,11] that have worked at the document structure level for UK and French financial reports. Ad-
ditionally, there is recent work that considers U.S. SEC reports, which includes DocLayNet [33] and more specifically with the report tables in FinTabNet [45].
On the side of financial models, there is work in sentiment analysis in finance [37], which includes the pre-training of specialised models such as FinBERT by Liu et al. [26], which is a BERT based model pre-trained on large corpora including large collections of financial news collected from di ff erent sites and FinBERT by DeSola et al, [9] trained on Wikipedia, BookCorpus and U.S. SEC data. Additional models include BloombergGPT [40], FinGPT [42] and Instruct-FinGPT[44].",0,1119,173,2 Related work,"[PaperProv(page_no=3, bbox=PaperBbox(l=134.76, t=227.43399999999997, r=480.722, b=158.707, coord_origin='BOTTOMLEFT'), charspan=[0.0, 465.0]), PaperProv(page_no=4, bbox=PaperBbox(l=134.76, t=672.875, r=480.566, b=652.028, coord_origin='BOTTOMLEFT'), charspan=[0.0, 159.0]), PaperProv(page_no=4, bbox=PaperBbox(l=134.76, t=648.875, r=480.707, b=568.388, coord_origin='BOTTOMLEFT'), charspan=[0.0, 478.0])]",2510.03230v1
section_9,"2 Related work
More advance datasets in the financial domain include FinQA [6], LLMWare [27], ConFIRM [8] and TAT-QA [46] among others [7,38,19] that have been prepared for retrieval and or Questions and Answering (Q&A) tasks over snippets of financial data that includes tabular data, which has allowed methods on large language models to be tested on them [39].
Most of the previous work has focused on understanding the layout of financial documents or understanding specific snippets of existing reports with di ff erent levels of complexity, but there has not been much research in understanding financial report documents, except some more recent work that includes FinanceBench [14], in which a set of questions about the content of financial reports are proposed that includes the evidence snippet.",0,806,127,2 Related work,"[PaperProv(page_no=4, bbox=PaperBbox(l=134.76, t=565.235, r=494.28, b=508.628, coord_origin='BOTTOMLEFT'), charspan=[0.0, 348.0]), PaperProv(page_no=4, bbox=PaperBbox(l=134.76, t=505.475, r=480.678, b=436.868, coord_origin='BOTTOMLEFT'), charspan=[0.0, 442.0])]",2510.03230v1
section_10,"2 Related work
More specifically on document chunking methods for RAG, there are standard approaches being considered such as chunking text into spans of a given token length (e.g. 128 and 256) or chunking based on sentences. Open source projects already allow simple processing of documents (e.g. Unstructured 4 , Llamaindex 5 or Langchain 6 ), without explicitly considering the table structure on which these chunking strategies are applied.
Even though di ff erent approaches are available, an exhaustive evaluation of chunking applied to RAG and specifically to financial reporting, except for some limited chunking analysis [14,36], is non-existent. In our work, we compare a broad range of chunking approaches in addition to more simple ones and provide an analysis of the outcomes of di ff erent methods when asking questions about di ff erent aspects of the reports.",0,875,139,2 Related work,"[PaperProv(page_no=4, bbox=PaperBbox(l=134.759, t=433.715, r=480.73, b=365.108, coord_origin='BOTTOMLEFT'), charspan=[0.0, 429.0]), PaperProv(page_no=4, bbox=PaperBbox(l=134.759, t=361.955, r=480.703, b=293.348, coord_origin='BOTTOMLEFT'), charspan=[0.0, 430.0])]",2510.03230v1
