label,content,prov,level
page_header,arXiv:2510.03230v1  [cs.CV]  3 Oct 2025,"[{'page_no': 1, 'bbox': {'l': 18.34, 't': 564.87, 'r': 36.34, 'b': 227.13, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 39.0]}]",
section_header,IMPROVING GUI GROUNDING WITH EXPLICIT POSITION-TO-COORDINATE MAPPING,"[{'page_no': 1, 'bbox': {'l': 137.205, 't': 692.325, 'r': 474.816, 'b': 657.623, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 68.0]}]",1.0
text,"Suyuchen Wang 1,2,3 , Tianyu Zhang 1,2,3 , Ahmed Masry 1,4 , Christopher Pal 1,2,5,7 , Spandana Gella 1 , Bang Liu 2,3,7 , Perouz Taslakian 1,6","[{'page_no': 1, 'bbox': {'l': 139.047, 't': 622.075, 'r': 472.953, 'b': 600.193, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 143.0]}]",
text,1 ServiceNow 2 Mila - Quebec AI Institute 3 Universit´ e de Montr´ eal 4 York University 5 Polytechnique Montr´ eal 6 McGill University 7 CIFAR AI Chair,"[{'page_no': 1, 'bbox': {'l': 127.969, 't': 598.786, 'r': 484.032, 'b': 576.921, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 152.0]}]",
section_header,ABSTRACT,"[{'page_no': 1, 'bbox': {'l': 277.296, 't': 558.654, 'r': 334.714, 'b': 547.906, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",1.0
text,"GUI grounding, the task of mapping natural-language instructions to pixel coordinates, is crucial for autonomous agents, yet remains difficult for current VLMs. The core bottleneck is reliable patch-topixel mapping, which breaks when extrapolating to high-resolution displays unseen during training. Current approaches generate coordinates as text tokens directly from visual features, forcing the model to infer complex position-to-pixel mappings implicitly; as a result, accuracy degrades and failures proliferate on new resolutions. We address this with two complementary innovations. First, RULER tokens serve as explicit coordinate markers, letting the model reference positions similar to gridlines on a map and adjust rather than generate coordinates from scratch. Second, Interleaved MRoPE (I-MROPE) improves spatial encoding by ensuring that width and height dimensions are represented equally, addressing the asymmetry of standard positional schemes. Experiments on ScreenSpot, ScreenSpot-V2, and ScreenSpot-Pro show consistent gains in grounding accuracy, with the largest improvements on high-resolution interfaces. By providing explicit spatial guidance rather than relying on implicit learning, our approach enables more reliable GUI automation across diverse resolutions and platforms.","[{'page_no': 1, 'bbox': {'l': 107.866, 't': 534.979, 'r': 504.138, 'b': 384.609, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1300.0]}]",
section_header,1 Introduction,"[{'page_no': 1, 'bbox': {'l': 72.0, 't': 365.718, 'r': 154.814, 'b': 354.97, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 14.0]}]",1.0
text,"GUI grounding is the task of mapping natural language instructions to precise pixel coordinates in graphical user interfaces, enabling autonomous agents to interact with software as humans do (Zhang et al., 2025a; Wang et al., 2024a; Zheng et al., 2024). This capability is fundamental for computer automation: without accurate grounding, agents cannot click buttons, fill forms, or navigate interfaces reliably. Although early approaches relied on structured metadata from HTML/DOM trees or accessibility APIs (Li et al., 2020; Deng et al., 2023), these methods face significant limitations: they require access to the underlying UI structure, which is often unavailable in desktop applications, inconsistent across platforms, or completely absent in legacy systems. Pure vision-based grounding, which operates directly on screenshots, offers universal applicability across any visual interface without requiring special access or instrumentation (Qin et al., 2025; Wang et al., 2025b; Guo et al., 2025). This approach mirrors human interaction with GUIs and enables automation of any software visible on screen, from modern web applications to legacy desktop tools.","[{'page_no': 1, 'bbox': {'l': 72.0, 't': 340.354, 'r': 540.003, 'b': 222.711, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1167.0]}]",
text,"Current vision-based approaches typically formulate GUI grounding as a coordinate generation task, where models output pixel positions as text tokens (e.g., ' x=523, y=217 '). This paradigm, adopted by models such as SeeClick (Cheng et al., 2024), CogAgent (Hong et al., 2024), and UI-TARS (Qin et al., 2025), treats coordinate prediction as a standard language modeling problem. However, this approach faces a fundamental challenge illustrated in Figure 1: models must learn to map from high-dimensional visual positional embeddings to precise numerical coordinates as token outputs without explicit spatial guidance. The mapping is entirely implicit : the model receives visual patches with positional embeddings and must learn to translate these abstract and similar representations into exact and distinct pixel value tokens through its language modeling head.","[{'page_no': 1, 'bbox': {'l': 72.0, 't': 214.875, 'r': 540.003, 'b': 129.95900000000006, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 864.0]}]",
text,"This implicit approach leads to two critical problems. First, unreliable coordinate prediction : Without explicit guidance linking positions to coordinates, models struggle to learn stable mappings, requiring extensive training data and still producing inconsistent results (Gou et al., 2025; Wu et al., 2025a). Second, poor resolution generalization : Models trained on specific resolutions generally fail when deployed on different screen sizes, as the implicit mapping function learned during training does not transfer to new coordinate ranges (Nayak et al., 2025; Li et al., 2025b).","[{'page_no': 1, 'bbox': {'l': 72.0, 't': 122.50999999999999, 'r': 540.003, 'b': 69.93399999999997, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 587.0]}]",
