label,content,prov,level
section_header,BLAZER: Bootstrapping LLM-based Manipulation Agents with Zero-Shot Data Generation,"[{'page_no': 1, 'bbox': {'l': 99.64, 't': 717.956, 'r': 512.36, 'b': 683.7, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 82.0]}]",1.0
text,"Rocktim Jyoti Das ∗ 1 , Harsh Singh ∗ 1 , Diana Turmakhan † 1 , Muhammad Abdullah Sohail † 1 , Mingfei Han 1 , Preslav Nakov 1 , Fabio Pizzati 1 , Ivan Laptev 1","[{'page_no': 1, 'bbox': {'l': 66.617, 't': 665.053, 'r': 541.548, 'b': 640.062, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 160.0]}]",
text,"Abstract -Scaling data and models has played a pivotal role in the remarkable progress of computer vision and language. Inspired by these domains, recent efforts in robotics have similarly focused on scaling both data and model size to develop more generalizable and robust policies. However, unlike vision and language, robotics lacks access to internet-scale demonstrations across diverse robotic tasks and environments. As a result, the scale of existing datasets typically suffers from the need for manual data collection and curation. To address this problem, here we propose BLAZER, a framework that learns manipulation policies from automatically generated training data . We build on the zero-shot capabilities of LLM planners and automatically generate demonstrations for diverse manipulation tasks in simulation. Successful examples are then used to finetune an LLM and to improve its planning capabilities without human supervision. Notably, while BLAZER training requires access to the simulator's state, we demonstrate direct transfer of acquired skills to sensor-based manipulation. Through extensive experiments, we show BLAZER to significantly improve zero-shot manipulation in both simulated and real environments. Moreover, BLAZER improves on tasks outside of its training pool and enables downscaling of LLM models. Our code and data will be made publicly available on the project page [1].","[{'page_no': 1, 'bbox': {'l': 54.0, 't': 616.598, 'r': 298.802, 'b': 379.396, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1409.0]}]",
section_header,I. INTRODUCTION,"[{'page_no': 1, 'bbox': {'l': 137.526, 't': 369.725, 'r': 215.282, 'b': 361.173, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 15.0]}]",1.0
text,'A teacher is one who makes himself progressively unnecessary. ',"[{'page_no': 1, 'bbox': {'l': 154.951, 't': 354.918, 'r': 298.801, 'b': 334.375, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 64.0]}]",
text,- Thomas Carruthers,"[{'page_no': 1, 'bbox': {'l': 207.712, 't': 330.829, 'r': 298.8, 'b': 322.277, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 19.0]}]",
text,"Learning-based methods are attracting increasingly growing attention in robotics. In particular, extending large language models (LLMs) and vision-language models (VLMs) to robotic tasks promise to empower resulting policies with strong reasoning capabilities and generalization to diverse tasks and environments [2], [3], [4], [5]. However, training generic robotic policies requires large-scale data in the form of paired actions and observations. To address this challenge, recent efforts attempt to collect real-robot demonstrations [6], adopt human videos [7], and leverage simulated environments [8], [9], [10]. Manual collection of robot demonstrations, however, is slow and expensive, while human videos are missing low-level control data and face an embodiment gap between robots and humans. Hence, scaling robotic demonstrations remains a major bottleneck.","[{'page_no': 1, 'bbox': {'l': 54.0, 't': 313.004, 'r': 298.801, 'b': 137.08000000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 866.0]}]",
text,"Recent work on language models brought significant progress improving reasoning capabilities of LLMs [12],","[{'page_no': 1, 'bbox': {'l': 54.0, 't': 133.78499999999997, 'r': 298.801, 'b': 113.27800000000002, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 106.0]}]",
footnote,*Co-first author.,"[{'page_no': 1, 'bbox': {'l': 62.468, 't': 101.91599999999994, 'r': 115.517, 'b': 95.07399999999996, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 17.0]}]",
footnote,† Co-second author.,"[{'page_no': 1, 'bbox': {'l': 62.468, 't': 93.20500000000004, 'r': 125.027, 'b': 86.10799999999995, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 19.0]}]",
